,timestep,location_0_x,location_0_y,location_1_x,location_1_y,location_2_x,location_2_y,location_3_x,location_3_y,location_4_x,location_4_y,location_5_x,location_5_y,location_6_x,location_6_y,location_7_x,location_7_y,location_8_x,location_8_y
850,42.5,48.71251986,0.576278936,49.39718451,2.423721064,49.42372106,3.423721064,49.57627894,1.423721064,50.42372106,2.423721064,50.35411746,3.354117461,50.57627894,0.576278936,51.28284332,2.306411665,50.52133995,3.250077674
851,42.55,48.68180104,0.532277134,49.4388275,2.467722866,49.46772287,3.467722866,49.53227713,1.467722866,50.46772287,2.467722866,50.37827987,3.37827987,50.53227713,0.532277134,51.31463963,2.334403133,50.46442022,3.267235323
852,42.6,48.64894157,0.498053509,49.48264343,2.513897598,49.5138976,3.501946491,49.4861024,1.513897598,50.5138976,2.513897598,50.40158761,3.401587606,50.4861024,0.498053509,51.34860888,2.363869058,50.40576063,3.286998957
853,42.65,48.61400605,0.498053509,49.52863228,2.562245257,49.56224526,3.501946491,49.43775474,1.562245257,50.56224526,2.562245257,50.42431856,3.424318564,50.43775474,0.498053509,51.38434426,2.392775961,50.34678015,3.310787567
854,42.7,48.57689759,0.498053509,49.57679407,2.612765846,49.61276585,3.501946491,49.38723415,1.612765846,50.61276585,2.612765846,50.44756063,3.44756063,50.38723415,0.498053509,51.42045874,2.420774037,50.2884985,3.339620864
855,42.75,48.53795667,0.498053509,49.62712878,2.665459363,49.66480065,3.501946491,49.33454064,1.665459363,50.66545936,2.665459363,50.47272589,3.472725891,50.33454064,0.498053509,51.45702569,2.448982556,50.23068705,3.373270221
856,42.8,48.49786418,0.498053509,49.67963642,2.720325808,49.71637788,3.501946491,49.27967419,1.720325808,50.72032581,2.720325808,50.50073932,3.493120708,50.27967419,0.498053509,51.49575723,2.47914139,50.17200067,3.410390506
857,42.85,48.45559877,0.498053509,49.73431699,2.777365182,49.76753242,3.501946491,49.22263482,1.777365182,50.77736518,2.777365182,50.53217147,3.494078418,50.22263482,0.498053509,51.53601927,2.510805314,50.11217441,3.450659723
858,42.9,48.41135245,0.498053509,49.79171766,2.837124656,49.81779539,3.501946491,49.16342252,1.836577485,50.83657748,2.836577485,50.56750427,3.498936788,50.16342252,0.498053509,51.57660195,2.544504121,50.05012761,3.492883145
859,42.95,48.36550929,0.498053509,49.85333535,2.901101155,49.86565302,3.501946491,49.10203728,1.897962716,50.89822096,2.89822096,50.60677213,3.500922029,50.10203728,0.498053509,51.61935755,2.579790418,49.98335773,3.503377451
860,43,48.31749319,0.498053509,49.919093,2.969217611,49.91140027,3.501946491,49.03847912,1.961520875,50.96301681,2.963016813,50.64951148,3.500922029,50.03847912,0.498053509,51.66428609,2.616735736,49.91125629,3.503377451
861,43.05,48.26730416,0.498053509,49.99038396,3.042867369,49.95627618,3.501946491,48.97274804,2.027251963,51.03073937,3.030739367,50.6954338,3.500922029,49.97274804,0.498053509,51.71042897,2.655620898,49.83371629,3.503377451
862,43.1,48.21494221,0.498053509,50.06825977,3.123101993,50.00378217,3.501946491,48.90484402,2.09515598,51.10111562,3.101115619,50.74320374,3.500922029,49.90484402,0.498053509,51.755869,2.695836336,49.75484575,3.503377451
863,43.15,48.16121,0.498053509,50.15292438,3.210125399,50.05415009,3.501946491,48.83476708,2.165232925,51.17381979,3.173819787,50.79245314,3.500922029,49.83476708,0.498053509,51.80286701,2.736805592,49.67574083,3.503377451
